pollster_rating_name,methodology,numeric_grade,start_date,end_date,sample_size,state,candidate_name,percent,transparency_score,population_group,days_until_election
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1136,Michigan,Kamala Harris,50,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1136,Michigan,Donald Trump,46,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1108,Wisconsin,Kamala Harris,48,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1108,Wisconsin,Donald Trump,48,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1108,Wisconsin,Kamala Harris,48,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1108,Wisconsin,Donald Trump,48,9,likely voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3481,National,Kamala Harris,46,9.5,registered voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3481,National,Donald Trump,43,9.5,registered voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3307,National,Kamala Harris,48,9.5,likely voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3307,National,Donald Trump,45,9.5,likely voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,4129,National,Kamala Harris,41,9.5,adults,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,4129,National,Donald Trump,39,9.5,adults,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,4129,National,Kamala Harris,41,9.5,adults,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,4129,National,Donald Trump,39,9.5,adults,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3481,National,Kamala Harris,45,9.5,registered voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3481,National,Donald Trump,43,9.5,registered voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3307,National,Kamala Harris,47,9.5,likely voters,15
Ipsos,Probability Panel,2.8,2024-10-16,2024-10-21,3307,National,Donald Trump,45,9.5,likely voters,15
Emerson College,Mixed,2.9,2024-10-18,2024-10-20,860,Florida,Kamala Harris,45.9,7,likely voters,16
Emerson College,Mixed,2.9,2024-10-18,2024-10-20,860,Florida,Donald Trump,53.6,7,likely voters,16
SurveyUSA,Online Panel,2.8,2024-10-17,2024-10-20,1164,North Carolina,Kamala Harris,47,10,registered voters,16
SurveyUSA,Online Panel,2.8,2024-10-17,2024-10-20,1164,North Carolina,Donald Trump,46,10,registered voters,16
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-15,2024-10-19,1000,National,Kamala Harris,46,4,registered voters,17
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-15,2024-10-19,1000,National,Donald Trump,48,4,registered voters,17
Suffolk University,Live Phone,2.9,2024-10-14,2024-10-18,1000,National,Kamala Harris,45.3,8,likely voters,18
Suffolk University,Live Phone,2.9,2024-10-14,2024-10-18,1000,National,Donald Trump,44.4,8,likely voters,18
Suffolk University,Live Phone,2.9,2024-10-14,2024-10-18,1000,National,Kamala Harris,49.7,8,likely voters,18
Suffolk University,Live Phone,2.9,2024-10-14,2024-10-18,1000,National,Donald Trump,48.7,8,likely voters,18
Siena College,Live Phone,2.7,2024-10-13,2024-10-17,872,New York,Kamala Harris,54,7,likely voters,19
Siena College,Live Phone,2.7,2024-10-13,2024-10-17,872,New York,Donald Trump,37,7,likely voters,19
Siena College,Live Phone,2.7,2024-10-13,2024-10-17,872,New York,Kamala Harris,58,7,likely voters,19
Siena College,Live Phone,2.7,2024-10-13,2024-10-17,872,New York,Donald Trump,39,7,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,4180,National,Kamala Harris,47.6,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,4180,National,Donald Trump,50.7,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,4180,National,Kamala Harris,48.1,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,4180,National,Donald Trump,50.8,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1440,Arizona,Kamala Harris,48.6,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1440,Arizona,Donald Trump,49.2,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1440,Arizona,Kamala Harris,49.3,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1440,Arizona,Donald Trump,49.2,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1411,Georgia,Kamala Harris,48.1,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1411,Georgia,Donald Trump,49.5,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1411,Georgia,Kamala Harris,48.4,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1411,Georgia,Donald Trump,50.1,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1529,Michigan,Kamala Harris,46.8,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1529,Michigan,Donald Trump,49.6,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1529,Michigan,Kamala Harris,47.3,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1529,Michigan,Donald Trump,50.2,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1171,Nevada,Kamala Harris,48.1,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1171,Nevada,Donald Trump,48.4,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1171,Nevada,Kamala Harris,48.4,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1171,Nevada,Donald Trump,48.3,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1674,North Carolina,Kamala Harris,49.5,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1674,North Carolina,Donald Trump,48.8,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1674,North Carolina,Kamala Harris,50.5,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,1674,North Carolina,Donald Trump,48.8,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,2048,Pennsylvania,Kamala Harris,46.5,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,2048,Pennsylvania,Donald Trump,49.8,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,2048,Pennsylvania,Kamala Harris,47.4,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,2048,Pennsylvania,Donald Trump,49.9,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,932,Wisconsin,Kamala Harris,48.9,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,932,Wisconsin,Donald Trump,48.2,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,932,Wisconsin,Kamala Harris,49,6,likely voters,19
AtlasIntel,Online Ad,2.7,2024-10-12,2024-10-17,932,Wisconsin,Donald Trump,48.4,6,likely voters,19
Emerson College,Mixed,2.9,2024-10-14,2024-10-16,1000,National,Kamala Harris,49.5,7,likely voters,20
Emerson College,Mixed,2.9,2024-10-14,2024-10-16,1000,National,Donald Trump,49.2,7,likely voters,20
YouGov,Online Panel,3,2024-10-11,2024-10-16,1435,Arizona,Kamala Harris,48,9,likely voters,20
YouGov,Online Panel,3,2024-10-11,2024-10-16,1435,Arizona,Donald Trump,51,9,likely voters,20
YouGov,Online Panel,3,2024-10-12,2024-10-15,1457,National,Kamala Harris,48,9,registered voters,21
YouGov,Online Panel,3,2024-10-12,2024-10-15,1457,National,Donald Trump,45,9,registered voters,21
YouGov,Online Panel,3,2024-10-12,2024-10-15,1314,National,Kamala Harris,49,9,likely voters,21
YouGov,Online Panel,3,2024-10-12,2024-10-15,1314,National,Donald Trump,45,9,likely voters,21
Emerson College,Mixed,2.9,2024-10-12,2024-10-14,1000,California,Kamala Harris,61,7,likely voters,22
Emerson College,Mixed,2.9,2024-10-12,2024-10-14,1000,California,Donald Trump,36.6,7,likely voters,22
Beacon Research/Shaw & Co. Research,Mixed,2.8,2024-10-11,2024-10-14,1110,National,Kamala Harris,48,9,registered voters,22
Beacon Research/Shaw & Co. Research,Mixed,2.8,2024-10-11,2024-10-14,1110,National,Donald Trump,50,9,registered voters,22
Beacon Research/Shaw & Co. Research,Mixed,2.8,2024-10-11,2024-10-14,870,National,Kamala Harris,48,9,likely voters,22
Beacon Research/Shaw & Co. Research,Mixed,2.8,2024-10-11,2024-10-14,870,National,Donald Trump,50,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1328,Georgia,Kamala Harris,45,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1328,Georgia,Donald Trump,52,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1328,Georgia,Kamala Harris,46,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1328,Georgia,Donald Trump,52,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1031,North Carolina,Kamala Harris,49,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1031,North Carolina,Donald Trump,47,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1031,North Carolina,Kamala Harris,50,9,likely voters,22
Quinnipiac University,Live Phone,2.8,2024-10-10,2024-10-14,1031,North Carolina,Donald Trump,47,9,likely voters,22
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,807,National,Kamala Harris,45,9.5,registered voters,23
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,807,National,Donald Trump,42,9.5,registered voters,23
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,769,National,Kamala Harris,47,9.5,likely voters,23
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,769,National,Donald Trump,44,9.5,likely voters,23
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,938,National,Kamala Harris,41,9.5,adults,23
Ipsos,Probability Panel,2.8,2024-10-11,2024-10-13,938,National,Donald Trump,37,9.5,adults,23
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,780,National,Kamala Harris,50,10,registered voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,780,National,Donald Trump,50,10,registered voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,780,National,Kamala Harris,43,10,registered voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,780,National,Donald Trump,39,10,registered voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,652,National,Kamala Harris,50,10,likely voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,652,National,Donald Trump,50,10,likely voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,652,National,Kamala Harris,44,10,likely voters,26
Marquette University Law School,Probability Panel,3,2024-10-01,2024-10-10,652,National,Donald Trump,41,10,likely voters,26
University of Massachusetts Lowell Center for Public Opinion,Online Panel,2.9,2024-10-02,2024-10-09,800,Pennsylvania,Kamala Harris,46,9,likely voters,27
University of Massachusetts Lowell Center for Public Opinion,Online Panel,2.9,2024-10-02,2024-10-09,800,Pennsylvania,Donald Trump,45,9,likely voters,27
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Arizona,Kamala Harris,48.2,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Arizona,Donald Trump,50.5,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Georgia,Kamala Harris,49.8,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Georgia,Donald Trump,49.7,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,950,Michigan,Kamala Harris,49.7,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,950,Michigan,Donald Trump,49.6,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,900,Nevada,Kamala Harris,49.2,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,900,Nevada,Donald Trump,48.1,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,North Carolina,Kamala Harris,49,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,North Carolina,Donald Trump,49.9,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Pennsylvania,Kamala Harris,49,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Pennsylvania,Donald Trump,49.7,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Wisconsin,Kamala Harris,49.2,7,likely voters,28
Emerson College,Mixed,2.9,2024-10-05,2024-10-08,1000,Wisconsin,Donald Trump,49.9,7,likely voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Kamala Harris,39,9,registered voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Donald Trump,57,9,registered voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Kamala Harris,38,9,registered voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Donald Trump,56,9,registered voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Kamala Harris,40,9,likely voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Donald Trump,57,9,likely voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Kamala Harris,39,9,likely voters,28
The New York Times/Siena College,Live Phone,3,2024-10-05,2024-10-08,656,Montana,Donald Trump,56,9,likely voters,28
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-04,2024-10-08,1000,National,Kamala Harris,46,4,registered voters,28
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-04,2024-10-08,1000,National,Donald Trump,47,4,registered voters,28
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-04,2024-10-08,1000,National,Kamala Harris,48,4,registered voters,28
Hart Research Associates/Public Opinion Strategies,Live Phone,2.6,2024-10-04,2024-10-08,1000,National,Donald Trump,48,4,registered voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2631,National,Kamala Harris,49,9.5,adults,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2631,National,Donald Trump,48,9.5,adults,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2226,National,Kamala Harris,49,9.5,registered voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2226,National,Donald Trump,47,9.5,registered voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,1714,National,Kamala Harris,50,9.5,likely voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,1714,National,Donald Trump,48,9.5,likely voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2631,National,Kamala Harris,50,9.5,adults,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2631,National,Donald Trump,49,9.5,adults,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2226,National,Kamala Harris,50,9.5,registered voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,2226,National,Donald Trump,49,9.5,registered voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,1714,National,Kamala Harris,51,9.5,likely voters,28
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-08,1714,National,Donald Trump,48,9.5,likely voters,28
YouGov,Online Panel,3,2024-10-06,2024-10-07,1414,National,Kamala Harris,47,9,registered voters,29
YouGov,Online Panel,3,2024-10-06,2024-10-07,1414,National,Donald Trump,44,9,registered voters,29
YouGov,Online Panel,3,2024-10-06,2024-10-07,1230,National,Kamala Harris,49,9,likely voters,29
YouGov,Online Panel,3,2024-10-06,2024-10-07,1230,National,Donald Trump,45,9,likely voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1272,National,Kamala Harris,42,9.5,adults,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1272,National,Donald Trump,38,9.5,adults,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Kamala Harris,46,9.5,registered voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Donald Trump,43,9.5,registered voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Kamala Harris,47,9.5,likely voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Donald Trump,45,9.5,likely voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1272,National,Kamala Harris,48,9.5,adults,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1272,National,Donald Trump,47,9.5,adults,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Kamala Harris,50,9.5,registered voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Donald Trump,48,9.5,registered voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Kamala Harris,51,9.5,likely voters,29
Ipsos,Probability Panel,2.8,2024-10-04,2024-10-07,1076,National,Donald Trump,49,9.5,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1007,Michigan,Kamala Harris,47,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1007,Michigan,Donald Trump,50,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1007,Michigan,Kamala Harris,47,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1007,Michigan,Donald Trump,51,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1412,Pennsylvania,Kamala Harris,49,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1412,Pennsylvania,Donald Trump,46,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1412,Pennsylvania,Kamala Harris,49,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1412,Pennsylvania,Donald Trump,47,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1073,Wisconsin,Kamala Harris,46,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1073,Wisconsin,Donald Trump,48,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1073,Wisconsin,Kamala Harris,47,9,likely voters,29
Quinnipiac University,Live Phone,2.8,2024-10-03,2024-10-07,1073,Wisconsin,Donald Trump,49,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1257,Florida,Kamala Harris,47,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1257,Florida,Donald Trump,51,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1410,Florida,Kamala Harris,47,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1410,Florida,Donald Trump,51,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1365,Texas,Kamala Harris,46,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1365,Texas,Donald Trump,52,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1186,Texas,Kamala Harris,46,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1186,Texas,Donald Trump,53,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1511,Ohio,Kamala Harris,46,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1511,Ohio,Donald Trump,52,9,registered voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1327,Ohio,Kamala Harris,46,9,likely voters,29
Marist College,Mixed,2.9,2024-10-03,2024-10-07,1327,Ohio,Donald Trump,52,9,likely voters,29
ABC News/The Washington Post,Mixed,3,2024-10-03,2024-10-07,1002,Ohio,Kamala Harris,45,9,likely voters,29
ABC News/The Washington Post,Mixed,3,2024-10-03,2024-10-07,1002,Ohio,Donald Trump,51,9,likely voters,29
ABC News/The Washington Post,Mixed,3,2024-10-03,2024-10-07,1002,Ohio,Kamala Harris,44,9,registered voters,29
ABC News/The Washington Post,Mixed,3,2024-10-03,2024-10-07,1002,Ohio,Donald Trump,51,9,registered voters,29
Suffolk University,Live Phone,2.9,2024-10-01,2024-10-05,500,Massachusetts,Kamala Harris,61.2,8,likely voters,31
Suffolk University,Live Phone,2.9,2024-10-01,2024-10-05,500,Massachusetts,Donald Trump,32.2,8,likely voters,31
YouGov,Online Panel,3,2024-10-02,2024-10-04,1150,National,Kamala Harris,46,9,registered voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1150,National,Donald Trump,45,9,registered voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1032,National,Kamala Harris,47,9,likely voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1032,National,Donald Trump,47,9,likely voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1151,National,Kamala Harris,48,9,registered voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1151,National,Donald Trump,46,9,registered voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1033,National,Kamala Harris,48,9,likely voters,32
YouGov,Online Panel,3,2024-10-02,2024-10-04,1033,National,Donald Trump,47,9,likely voters,32
Mason-Dixon Polling & Strategy,Live Phone,2.6,2024-10-01,2024-10-04,625,Florida,Kamala Harris,43,6,likely voters,32
Mason-Dixon Polling & Strategy,Live Phone,2.6,2024-10-01,2024-10-04,625,Florida,Donald Trump,49,6,likely voters,32
Data for Progress,Online Panel,2.6,2024-10-02,2024-10-03,1211,National,Kamala Harris,49,10,likely voters,33
Data for Progress,Online Panel,2.6,2024-10-02,2024-10-03,1211,National,Donald Trump,46,10,likely voters,33
ABC News/The Washington Post,Mixed,3,2024-09-25,2024-09-29,1001,North Carolina,Kamala Harris,48,9,likely voters,37
ABC News/The Washington Post,Mixed,3,2024-09-25,2024-09-29,1001,North Carolina,Donald Trump,50,9,likely voters,37
ABC News/The Washington Post,Mixed,3,2024-09-25,2024-09-29,1001,North Carolina,Kamala Harris,47,9,registered voters,37
ABC News/The Washington Post,Mixed,3,2024-09-25,2024-09-29,1001,North Carolina,Donald Trump,50,9,registered voters,37
Quinnipiac University,Live Phone,2.8,2024-09-25,2024-09-29,953,North Carolina,Kamala Harris,47,9,likely voters,37
Quinnipiac University,Live Phone,2.8,2024-09-25,2024-09-29,953,North Carolina,Donald Trump,49,9,likely voters,37
Quinnipiac University,Live Phone,2.8,2024-09-25,2024-09-29,953,North Carolina,Kamala Harris,48,9,likely voters,37
Quinnipiac University,Live Phone,2.8,2024-09-25,2024-09-29,953,North Carolina,Donald Trump,49,9,likely voters,37
